"Name.x","Species","Hex.x","Category.x","Year","Month","CountMosq","positive"
"PA22.EG4(4)","P","EG4","Equal",2022,"PA",10,0
"PA22.HE1(1)","P","HE1","Higher",2022,"PA",10,0
"PA22.HE1(2)","P","HE1","Higher",2022,"PA",10,1
"PA22.HE1(3)","P","HE1","Higher",2022,"PA",10,0
"PA22.HE1(4)","P","HE1","Higher",2022,"PA",10,0
"PA22.HP1(1)","P","HP1","Higher",2022,"PA",10,1
"PA22.HP1(2)","P","HP1","Higher",2022,"PA",10,0
"PA22.HP1(3)","P","HP1","Higher",2022,"PA",10,0
"PA22.HP1(4)","P","HP1","Higher",2022,"PA",10,0
"PA22.MP1(1)","P","MP1","Higher",2022,"PA",10,0
"PA22.PH1(1)","P","PH1","Lower",2022,"PA",10,0
"PA22.PH1(2)","P","PH1","Lower",2022,"PA",10,1
"PA22.PH1(3)","P","PH1","Lower",2022,"PA",10,1
"PA22.PH1(4)","P","PH1","Lower",2022,"PA",10,0
"PA22.PR1(1)","P","PR1","Lower",2022,"PA",10,0
"PA22.PR1(2)","P","PR1","Lower",2022,"PA",10,0
"PA22.PR1(3)","P","PR1","Lower",2022,"PA",10,1
"PA22.PR1(4)","P","PR1","Lower",2022,"PA",10,0
"PA22.PR2(1)","P","PR2","Lower",2022,"PA",10,0
"PA22.PR2(2)","P","PR2","Lower",2022,"PA",10,0
"PA22.PR3(1)","P","PR3","Lower",2022,"PA",10,0
"PA22.PR3(2)","P","PR3","Lower",2022,"PA",10,0
"PA22.PR3(3)","P","PR3","Lower",2022,"PA",10,0
"PA22.PR3(4)","P","PR3","Lower",2022,"PA",10,0
"PA22.SC1(1)","P","SC1","Equal",2022,"PA",10,1
"PA22.SC1(2)","P","SC1","Equal",2022,"PA",10,0
"PA22.SC1(3)","P","SC1","Equal",2022,"PA",10,0
"PA22.SC1(4)","P","SC1","Equal",2022,"PA",10,0
"PA22.ST1(3)","P","ST1","Equal",2022,"PA",10,0
"PA22.ST1(4)","P","ST1","Equal",2022,"PA",10,0
