PlateVal,Include,Color,Pos,Name,Cp,Pos_Tm,Tm1,Tm2
517,TRUE,65280,H2,Sample 86,,H2,77.49,
517,TRUE,65280,H3,Sample 87,,H3,,
517,TRUE,255,H4,Sample 88,36.77,H4,80.44,
517,TRUE,65280,H5,Sample 89,,H5,,
517,TRUE,65280,H6,Sample 90,,H6,,
517,TRUE,65280,H7,Sample 91,,H7,,
517,TRUE,65280,H8,Sample 92,,H8,,
517,TRUE,65280,H9,Sample 93,,H9,,
517,TRUE,65280,H10,Sample 94,,H10,,
517,TRUE,255,H11,Sample 95,20.64,H11,,
517,TRUE,65280,H12,Sample 96,,H12,,
522,TRUE,65280,A1,Sample 1,,A1,,
522,TRUE,65280,A2,Sample 2,,A2,,
522,TRUE,16711680,A3,Sample 3,40,A3,,
522,TRUE,65280,A4,Sample 4,,A4,,
522,TRUE,65280,A5,Sample 5,,A5,,
522,TRUE,255,A6,Sample 6,38.12,A6,84.85,
522,TRUE,255,A7,Sample 7,40,A7,81.56,
522,TRUE,255,A8,Sample 8,34.36,A8,79.25,
522,TRUE,65280,A9,Sample 9,,A9,,
522,TRUE,255,A10,Sample 10,40,A10,82.44,
522,TRUE,65280,A11,Sample 11,,A11,,
522,TRUE,255,A12,Sample 12,23.26,A12,82.37,
522,TRUE,65280,B1,Sample 13,,B1,,
522,TRUE,65280,B2,Sample 14,,B2,,
522,TRUE,255,B3,Sample 15,37.66,B3,78.21,
522,TRUE,255,B4,Sample 16,34.25,B4,80.52,85.71
522,TRUE,255,B5,Sample 17,40,B5,80.72,85.25
522,TRUE,255,B6,Sample 18,37.28,B6,85.88,
522,TRUE,65280,B7,Sample 19,,B7,,
522,TRUE,65280,B8,Sample 20,,B8,,
522,TRUE,255,B9,Sample 21,40,B9,78.33,
522,TRUE,65280,B10,Sample 22,,B10,,
522,TRUE,65280,B11,Sample 23,,B11,,
522,TRUE,255,B12,Sample 24,26.57,B12,82.03,
522,TRUE,16711680,C1,Sample 25,40,C1,78.6,
522,TRUE,65280,C2,Sample 26,,C2,,
522,TRUE,65280,C3,Sample 27,,C3,,
522,TRUE,65280,C4,Sample 28,,C4,,
522,TRUE,255,C5,Sample 29,40,C5,78.61,
522,TRUE,65280,C6,Sample 30,,C6,,
522,TRUE,65280,C7,Sample 31,,C7,,
522,TRUE,65280,C8,Sample 32,,C8,,
522,TRUE,65280,C9,Sample 33,,C9,,
522,TRUE,65280,C10,Sample 34,,C10,,
522,TRUE,255,C11,Sample 35,11.44,C11,,
522,TRUE,255,C12,Sample 36,30.13,C12,82.13,
522,TRUE,65280,D1,Sample 37,,D1,,
522,TRUE,255,D2,Sample 38,40,D2,82.01,
522,TRUE,65280,D3,Sample 39,,D3,,
522,TRUE,65280,D4,Sample 40,,D4,,
522,TRUE,65280,D5,Sample 41,,D5,,
522,TRUE,255,D6,Sample 42,40,D6,82.84,
522,TRUE,65280,D7,Sample 43,,D7,,
522,TRUE,65280,D8,Sample 44,,D8,,
522,TRUE,255,D9,Sample 45,40,D9,79.1,
522,TRUE,65280,D10,Sample 46,,D10,,
522,TRUE,255,D11,Sample 47,12.41,D11,,
522,TRUE,255,D12,Sample 48,34.37,D12,82,
522,TRUE,65280,E1,Sample 49,,E1,,
522,TRUE,255,E2,Sample 50,37.07,E2,78.47,
522,TRUE,255,E3,Sample 51,40,E3,80,
522,TRUE,255,E4,Sample 52,37.47,E4,78.31,
522,TRUE,255,E5,Sample 53,36.12,E5,79.52,
522,TRUE,255,E6,Sample 54,34.48,E6,79.46,85.5
522,TRUE,255,E7,Sample 55,40,E7,78.77,
522,TRUE,255,E8,Sample 56,40,E8,78.74,
